gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,transcript_id,cds_start,cds_length,tx_length,cds_end,minus_log10_p,is_MAPT,colour,alpha,colour2,name
ENSG00000248527.1,963.9987583035037,0.048660032368994445,0.43101629584834605,0.11289603858995526,0.9101129770002265,0.9999764011711453,NA,NA,NA,NA,NA,NA,0.04090469312693804,FALSE,grey60,0.2,grey60,NA
ENSG00000228794.8,56.97615698763809,0.3239926239941288,0.3517264276263261,0.9211495029834332,0.3569723781156653,0.9999764011711453,NA,NA,NA,NA,NA,NA,0.44736538751819926,FALSE,grey60,0.2,grey60,NA
ENSG00000188976.10,58.862143893398304,0.5070528614344609,0.3603741452468192,1.4070178677418212,0.15942209056791362,0.9999764011711453,NOC2L,ENST00000327044.6,51,2250,2790,2300,0.7974515000852914,FALSE,grey60,0.2,grey60,
ENSG00000078808.16,471.6139797331164,0.04703460921554991,0.25337435866190494,0.18563286933983508,0.852732675544696,0.9999764011711453,SDF4,ENST00000360001.10,264,1089,1956,1352,0.06918709512991071,FALSE,grey60,0.2,grey60,
ENSG00000176022.5,359.4842906922042,-0.04985877928407867,0.25027925823191494,-0.19921259011355347,0.8420964513176283,0.9999764011711453,B3GALT6,ENST00000379198.4,21,990,2783,1010,0.07463816280433491,FALSE,grey60,0.2,grey60,
ENSG00000160087.20,382.5954529543577,0.04025557743054847,0.24912395885193855,0.16158854257158584,0.87162988043619,0.9999764011711453,UBE2J2,ENST00000400930.8,169,828,1021,996,0.05966789007548337,FALSE,grey60,0.2,grey60,
ENSG00000127054.20,79.49914665440517,0.20122667178369077,0.34704444727709244,0.5798296828043595,0.5620294785545971,0.9999764011711453,INTS11,ENST00000540437.5,535,1821,2629,2355,0.2502409050041655,FALSE,grey60,0.2,grey60,
ENSG00000224051.6,62.83558722816263,0.5717536786936709,0.47680070533463514,1.1991460421443683,0.2304711638061737,0.9999764011711453,CPTP,ENST00000343938.8,412,645,2190,1056,0.6373834051258703,FALSE,grey60,0.2,grey60,
ENSG00000107404.19,93.93851107443015,0.13358274768027276,0.27153724881249675,0.4919499931021065,0.6227546953622922,0.9999764011711453,DVL1,ENST00000378888.9,286,2088,3239,2373,0.2056829893438498,FALSE,grey60,0.2,grey60,
ENSG00000162576.16,357.2001215039686,0.1837499266658924,0.901600359404099,0.20380418524604352,0.838506522133114,0.9999764011711453,MXRA8,ENST00000445648.5,40,1353,2001,1392,0.07649355498347023,FALSE,grey60,0.2,grey60,
